tick,slots,master,event_name,match_id
112759,50,,hltv_status,c3ddd683
113273,50,,hltv_status,c3ddd683
113785,50,,hltv_status,c3ddd683
114297,50,,hltv_status,c3ddd683
114809,50,,hltv_status,c3ddd683
115323,50,,hltv_status,c3ddd683
115835,50,,hltv_status,c3ddd683
116349,50,,hltv_status,c3ddd683
116861,50,,hltv_status,c3ddd683
117373,50,,hltv_status,c3ddd683
117885,50,,hltv_status,c3ddd683
118399,50,,hltv_status,c3ddd683
118911,50,,hltv_status,c3ddd683
119423,50,,hltv_status,c3ddd683
119935,50,,hltv_status,c3ddd683
120447,50,,hltv_status,c3ddd683
120961,50,,hltv_status,c3ddd683
121473,50,,hltv_status,c3ddd683
121985,50,,hltv_status,c3ddd683
122499,50,,hltv_status,c3ddd683
123011,50,,hltv_status,c3ddd683
123523,50,,hltv_status,c3ddd683
124035,50,,hltv_status,c3ddd683
124547,50,,hltv_status,c3ddd683
125059,50,,hltv_status,c3ddd683
125573,50,,hltv_status,c3ddd683
126085,50,,hltv_status,c3ddd683
126597,50,,hltv_status,c3ddd683
127111,50,,hltv_status,c3ddd683
127623,50,,hltv_status,c3ddd683
128135,50,,hltv_status,c3ddd683
128647,50,,hltv_status,c3ddd683
129161,50,,hltv_status,c3ddd683
129673,50,,hltv_status,c3ddd683
130185,50,,hltv_status,c3ddd683
130699,50,,hltv_status,c3ddd683
131211,50,,hltv_status,c3ddd683
131723,50,,hltv_status,c3ddd683
132237,50,,hltv_status,c3ddd683
132749,50,,hltv_status,c3ddd683
133261,50,,hltv_status,c3ddd683
133773,50,,hltv_status,c3ddd683
134287,50,,hltv_status,c3ddd683
134799,50,,hltv_status,c3ddd683
135311,50,,hltv_status,c3ddd683
135823,50,,hltv_status,c3ddd683
136337,50,,hltv_status,c3ddd683
136849,50,,hltv_status,c3ddd683
137363,50,,hltv_status,c3ddd683
137875,50,,hltv_status,c3ddd683
138387,50,,hltv_status,c3ddd683
138899,50,,hltv_status,c3ddd683
139413,50,,hltv_status,c3ddd683
139925,50,,hltv_status,c3ddd683
140437,50,,hltv_status,c3ddd683
140949,50,,hltv_status,c3ddd683
141461,50,,hltv_status,c3ddd683
141975,50,,hltv_status,c3ddd683
142487,50,,hltv_status,c3ddd683
143000,50,,hltv_status,c3ddd683
143512,50,,hltv_status,c3ddd683
144024,50,,hltv_status,c3ddd683
144536,50,,hltv_status,c3ddd683
145048,50,,hltv_status,c3ddd683
145562,50,,hltv_status,c3ddd683
146074,50,,hltv_status,c3ddd683
146586,50,,hltv_status,c3ddd683
147100,50,,hltv_status,c3ddd683
147612,50,,hltv_status,c3ddd683
148124,50,,hltv_status,c3ddd683
148638,50,,hltv_status,c3ddd683
149150,50,,hltv_status,c3ddd683
149663,50,,hltv_status,c3ddd683
150175,50,,hltv_status,c3ddd683
150687,50,,hltv_status,c3ddd683
151199,50,,hltv_status,c3ddd683
151711,50,,hltv_status,c3ddd683
152225,50,,hltv_status,c3ddd683
152737,50,,hltv_status,c3ddd683
153251,50,,hltv_status,c3ddd683
153763,50,,hltv_status,c3ddd683
154275,50,,hltv_status,c3ddd683
154787,50,,hltv_status,c3ddd683
155301,50,,hltv_status,c3ddd683
155813,50,,hltv_status,c3ddd683
156325,50,,hltv_status,c3ddd683
156837,50,,hltv_status,c3ddd683
157349,50,,hltv_status,c3ddd683
157863,50,,hltv_status,c3ddd683
158375,50,,hltv_status,c3ddd683
158887,50,,hltv_status,c3ddd683
159401,50,,hltv_status,c3ddd683
159913,50,,hltv_status,c3ddd683
160425,50,,hltv_status,c3ddd683
160937,50,,hltv_status,c3ddd683
161449,50,,hltv_status,c3ddd683
161961,50,,hltv_status,c3ddd683
162473,50,,hltv_status,c3ddd683
162985,50,,hltv_status,c3ddd683
163499,50,,hltv_status,c3ddd683
164011,50,,hltv_status,c3ddd683
164525,50,,hltv_status,c3ddd683
165037,50,,hltv_status,c3ddd683
165549,50,,hltv_status,c3ddd683
166061,50,,hltv_status,c3ddd683
166575,50,,hltv_status,c3ddd683
167087,50,,hltv_status,c3ddd683
167599,50,,hltv_status,c3ddd683
168111,50,,hltv_status,c3ddd683
168625,50,,hltv_status,c3ddd683
169137,50,,hltv_status,c3ddd683
169649,50,,hltv_status,c3ddd683
170163,50,,hltv_status,c3ddd683
170675,50,,hltv_status,c3ddd683
171187,50,,hltv_status,c3ddd683
171699,50,,hltv_status,c3ddd683
172211,50,,hltv_status,c3ddd683
172725,50,,hltv_status,c3ddd683
173237,50,,hltv_status,c3ddd683
173749,50,,hltv_status,c3ddd683
174261,50,,hltv_status,c3ddd683
174773,50,,hltv_status,c3ddd683
175287,50,,hltv_status,c3ddd683
175799,50,,hltv_status,c3ddd683
176311,50,,hltv_status,c3ddd683
176823,50,,hltv_status,c3ddd683
177335,50,,hltv_status,c3ddd683
177849,50,,hltv_status,c3ddd683
178361,50,,hltv_status,c3ddd683
178873,50,,hltv_status,c3ddd683
179386,50,,hltv_status,c3ddd683
179898,50,,hltv_status,c3ddd683
180410,50,,hltv_status,c3ddd683
180922,50,,hltv_status,c3ddd683
181436,50,,hltv_status,c3ddd683
181948,50,,hltv_status,c3ddd683
182460,50,,hltv_status,c3ddd683
182972,50,,hltv_status,c3ddd683
183486,50,,hltv_status,c3ddd683
183998,50,,hltv_status,c3ddd683
184510,50,,hltv_status,c3ddd683
185024,50,,hltv_status,c3ddd683
185537,50,,hltv_status,c3ddd683
186049,50,,hltv_status,c3ddd683
186561,50,,hltv_status,c3ddd683
187073,50,,hltv_status,c3ddd683
187585,50,,hltv_status,c3ddd683
188097,50,,hltv_status,c3ddd683
188611,50,,hltv_status,c3ddd683
189123,50,,hltv_status,c3ddd683
