player_name,player_steamid,event_name,tick,round
Erick,76561198000238678,player_jump,181808,0
Cujura,76561198051880621,player_jump,181924,0
Erick,76561198000238678,player_jump,182396,0
Erick,76561198000238678,player_jump,182472,0
Erick,76561198000238678,player_jump,182518,0
MonsTro,76561198340888446,player_jump,182634,0
Erick,76561198000238678,player_jump,182746,0
MonsTro,76561198340888446,player_jump,182954,0
Erick,76561198000238678,player_jump,183082,0
Erick,76561198000238678,player_jump,183170,0
【﻿ＰＫ】,76561197996437459,player_jump,183538,0
rodrigaoobrabo,76561198421514418,player_jump,183660,0
rodrigaoobrabo,76561198421514418,player_jump,184122,0
Erick,76561198000238678,player_jump,184260,0
MonsTro,76561198340888446,player_jump,184288,0
Erick,76561198000238678,player_jump,184300,0
Talevor,76561198124241179,player_jump,184312,0
Erick,76561198000238678,player_jump,184594,0
Luiz,76561198100001022,player_jump,184748,0
Luiz,76561198100001022,player_jump,184830,0
Luiz,76561198100001022,player_jump,184868,0
【﻿ＰＫ】,76561197996437459,player_jump,184904,0
Luiz,76561198100001022,player_jump,184912,0
Erick,76561198000238678,player_jump,184952,0
rodrigaoobrabo,76561198421514418,player_jump,185160,0
【﻿ＰＫ】,76561197996437459,player_jump,185188,0
MonsTro,76561198340888446,player_jump,186751,0
MonsTro,76561198340888446,player_jump,186901,0
AVARA KÉRABA,76561198397576589,player_jump,186957,0
AVARA KÉRABA,76561198397576589,player_jump,186997,0
Siraissi,76561198178993731,player_jump,187009,0
Connan,76561198026214582,player_jump,187015,0
Siraissi,76561198178993731,player_jump,187059,0
Connan,76561198026214582,player_jump,187201,0
Connan,76561198026214582,player_jump,187303,0
Siraissi,76561198178993731,player_jump,187563,0
AVARA KÉRABA,76561198397576589,player_jump,187623,0
